date,store id,product id,category,region,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality,sku,lag_1,lag_7,lag_14,rolling_mean_3,rolling_mean_7,rolling_std_7,day_of_week,month,inventory_level,holiday_flag,price_change_7d,discount_flag,inventory_ratio
2022-01-15,S001,P0001,3,1,290,176,94,170.06,98.04,10,1,1,98.2,1,S001_P0001,177.0,2.0,127.0,120.33333333333333,109.28571428571429,121.7904132594383,5,1,0,0,0.4787330316742082,1,0.0
2022-01-16,S001,P0001,3,0,104,97,189,114.65,11.39,15,2,0,7.96,3,S001_P0001,176.0,350.0,81.0,144.33333333333334,134.14285714285714,113.73423490961811,6,1,0,0,-0.7269894534995206,1,0.0
2022-01-17,S001,P0001,3,0,134,69,95,73.59,95.27,0,1,1,92.6,2,S001_P0001,97.0,36.0,5.0,150.0,98.0,62.254852555175724,0,1,0,0,1.9152386780905752,0,0.0
2022-01-18,S001,P0001,1,1,339,123,157,134.0,90.7,15,3,0,86.51,1,S001_P0001,69.0,16.0,58.0,114.0,102.71428571428571,57.87260228500269,1,1,0,0,2.2945877224845623,1,0.0
2022-01-19,S001,P0001,3,3,431,211,139,228.92,97.97,10,0,0,95.06,2,S001_P0001,123.0,104.0,147.0,96.33333333333333,118.0,43.49712634186315,2,1,0,0,0.05434782608695654,1,0.0
2022-01-20,S001,P0001,2,1,154,79,113,90.49,10.38,0,0,0,11.46,1,S001_P0001,211.0,80.0,37.0,134.33333333333334,133.28571428571428,55.0294293559192,3,1,0,0,-0.39895773016792124,0,0.0
2022-01-21,S001,P0001,0,2,430,390,195,401.1,13.1,15,2,1,15.14,2,S001_P0001,79.0,177.0,107.0,137.66666666666666,133.14285714285714,55.19187310775803,4,1,0,0,-0.8545252637423654,1,0.0
2022-01-22,S001,P0001,1,1,450,191,197,181.42,87.64,0,2,1,91.45,1,S001_P0001,390.0,176.0,2.0,226.66666666666666,163.57142857142858,112.4334723927253,5,1,0,0,-0.10607915136678914,0,0.0
2022-01-23,S001,P0001,2,3,118,79,155,69.99,22.65,15,0,0,25.19,1,S001_P0001,191.0,97.0,350.0,220.0,165.71428571428572,112.85198903241111,6,1,0,0,0.9885864793678663,1,0.0
2022-01-24,S001,P0001,4,2,115,9,132,17.87,76.71,15,2,1,75.85,2,S001_P0001,79.0,69.0,36.0,220.0,163.14285714285714,114.86576016003579,0,1,0,0,-0.19481473706308394,1,0.0
2022-01-25,S001,P0001,2,0,348,189,122,185.83,18.35,15,1,1,22.01,0,S001_P0001,9.0,123.0,16.0,93.0,154.57142857142858,124.86507003275864,1,1,0,0,-0.7976846747519294,1,0.0
