sku,date,day_ahead,arima_forecast,price,inventory_level
S001_P0001,2024-01-02,1,101.02,55.26,223
S001_P0001,2024-01-03,2,79.78,55.26,223
S001_P0001,2024-01-04,3,84.2,55.26,223
S001_P0001,2024-01-05,4,61.31,55.26,223
S001_P0001,2024-01-06,5,69.76,55.26,223
S001_P0001,2024-01-07,6,74.06,55.26,223
S001_P0001,2024-01-08,7,79.42,55.26,223
S001_P0002,2024-01-02,1,68.32,44.84,217
S001_P0002,2024-01-03,2,66.39,44.84,217
S001_P0002,2024-01-04,3,72.44,44.84,217
S001_P0002,2024-01-05,4,68.06,44.84,217
S001_P0002,2024-01-06,5,65.1,44.84,217
S001_P0002,2024-01-07,6,72.98,44.84,217
S001_P0002,2024-01-08,7,69.49,44.84,217
S001_P0003,2024-01-02,1,145.6,21.94,69
S001_P0003,2024-01-03,2,130.38,21.94,69
S001_P0003,2024-01-04,3,117.7,21.94,69
S001_P0003,2024-01-05,4,124.62,21.94,69
S001_P0003,2024-01-06,5,124.04,21.94,69
S001_P0003,2024-01-07,6,121.22,21.94,69
S001_P0003,2024-01-08,7,126.79,21.94,69
S001_P0004,2024-01-02,1,196.69,86.37,338
S001_P0004,2024-01-03,2,158.79,86.37,338
S001_P0004,2024-01-04,3,134.97,86.37,338
S001_P0004,2024-01-05,4,147.94,86.37,338
S001_P0004,2024-01-06,5,167.73,86.37,338
S001_P0004,2024-01-07,6,168.6,86.37,338
S001_P0004,2024-01-08,7,162.83,86.37,338
S001_P0005,2024-01-02,1,132.34,15.58,471
S001_P0005,2024-01-03,2,161.74,15.58,471
S001_P0005,2024-01-04,3,185.23,15.58,471
S001_P0005,2024-01-05,4,144.36,15.58,471
S001_P0005,2024-01-06,5,161.77,15.58,471
S001_P0005,2024-01-07,6,178.9,15.58,471
S001_P0005,2024-01-08,7,157.1,15.58,471
S001_P0006,2024-01-02,1,70.82,64.76,305
S001_P0006,2024-01-03,2,65.1,64.76,305
S001_P0006,2024-01-04,3,72.9,64.76,305
S001_P0006,2024-01-05,4,81.12,64.76,305
S001_P0006,2024-01-06,5,86.12,64.76,305
S001_P0006,2024-01-07,6,78.09,64.76,305
S001_P0006,2024-01-08,7,75.42,64.76,305
S001_P0007,2024-01-02,1,138.11,77.44,256
S001_P0007,2024-01-03,2,163.68,77.44,256
S001_P0007,2024-01-04,3,136.86,77.44,256
S001_P0007,2024-01-05,4,165.37,77.44,256
S001_P0007,2024-01-06,5,141.96,77.44,256
S001_P0007,2024-01-07,6,127.3,77.44,256
S001_P0007,2024-01-08,7,144.64,77.44,256
S001_P0008,2024-01-02,1,155.74,31.34,315
S001_P0008,2024-01-03,2,155.05,31.34,315
S001_P0008,2024-01-04,3,127.77,31.34,315
S001_P0008,2024-01-05,4,123.88,31.34,315
S001_P0008,2024-01-06,5,145.68,31.34,315
S001_P0008,2024-01-07,6,158.02,31.34,315
S001_P0008,2024-01-08,7,144.89,31.34,315
S001_P0009,2024-01-02,1,117.48,96.8,167
S001_P0009,2024-01-03,2,95.59,96.8,167
S001_P0009,2024-01-04,3,98.15,96.8,167
S001_P0009,2024-01-05,4,95.31,96.8,167
S001_P0009,2024-01-06,5,85.65,96.8,167
S001_P0009,2024-01-07,6,84.66,96.8,167
S001_P0009,2024-01-08,7,96.34,96.8,167
S001_P0010,2024-01-02,1,104.56,40.95,167
S001_P0010,2024-01-03,2,120.92,40.95,167
S001_P0010,2024-01-04,3,145.77,40.95,167
S001_P0010,2024-01-05,4,141.47,40.95,167
S001_P0010,2024-01-06,5,109.91,40.95,167
S001_P0010,2024-01-07,6,116.28,40.95,167
S001_P0010,2024-01-08,7,120.9,40.95,167
S001_P0011,2024-01-02,1,130.72,90.89,449
S001_P0011,2024-01-03,2,162.34,90.89,449
S001_P0011,2024-01-04,3,145.07,90.89,449
S001_P0011,2024-01-05,4,134.39,90.89,449
S001_P0011,2024-01-06,5,144.52,90.89,449
S001_P0011,2024-01-07,6,125.52,90.89,449
S001_P0011,2024-01-08,7,139.38,90.89,449
S001_P0012,2024-01-02,1,139.03,39.14,213
S001_P0012,2024-01-03,2,110.46,39.14,213
S001_P0012,2024-01-04,3,101.45,39.14,213
S001_P0012,2024-01-05,4,89.52,39.14,213
S001_P0012,2024-01-06,5,89.15,39.14,213
S001_P0012,2024-01-07,6,103.43,39.14,213
S001_P0012,2024-01-08,7,104.58,39.14,213
S001_P0013,2024-01-02,1,173.26,59.93,356
S001_P0013,2024-01-03,2,163.37,59.93,356
S001_P0013,2024-01-04,3,157.68,59.93,356
S001_P0013,2024-01-05,4,163.98,59.93,356
S001_P0013,2024-01-06,5,161.56,59.93,356
S001_P0013,2024-01-07,6,176.11,59.93,356
S001_P0013,2024-01-08,7,167.07,59.93,356
S001_P0014,2024-01-02,1,138.86,29.01,293
S001_P0014,2024-01-03,2,103.1,29.01,293
S001_P0014,2024-01-04,3,111.33,29.01,293
S001_P0014,2024-01-05,4,109.37,29.01,293
S001_P0014,2024-01-06,5,123.57,29.01,293
S001_P0014,2024-01-07,6,137.48,29.01,293
S001_P0014,2024-01-08,7,120.56,29.01,293
S001_P0015,2024-01-02,1,112.16,25.26,356
S001_P0015,2024-01-03,2,149.76,25.26,356
S001_P0015,2024-01-04,3,159.71,25.26,356
S001_P0015,2024-01-05,4,144.56,25.26,356
S001_P0015,2024-01-06,5,166.25,25.26,356
S001_P0015,2024-01-07,6,162.04,25.26,356
S001_P0015,2024-01-08,7,149.92,25.26,356
S001_P0016,2024-01-02,1,103.97,40.61,74
S001_P0016,2024-01-03,2,98.17,40.61,74
S001_P0016,2024-01-04,3,73.62,40.61,74
S001_P0016,2024-01-05,4,73.8,40.61,74
S001_P0016,2024-01-06,5,70.42,40.61,74
S001_P0016,2024-01-07,6,74.81,40.61,74
S001_P0016,2024-01-08,7,82.41,40.61,74
S001_P0017,2024-01-02,1,141.09,20.68,282
S001_P0017,2024-01-03,2,111.76,20.68,282
S001_P0017,2024-01-04,3,102.05,20.68,282
S001_P0017,2024-01-05,4,127.29,20.68,282
S001_P0017,2024-01-06,5,145.7,20.68,282
S001_P0017,2024-01-07,6,140.73,20.68,282
S001_P0017,2024-01-08,7,126.8,20.68,282
S001_P0018,2024-01-02,1,84.37,24.1,191
S001_P0018,2024-01-03,2,75.15,24.1,191
S001_P0018,2024-01-04,3,55.7,24.1,191
S001_P0018,2024-01-05,4,43.87,24.1,191
S001_P0018,2024-01-06,5,49.8,24.1,191
S001_P0018,2024-01-07,6,57.73,24.1,191
S001_P0018,2024-01-08,7,60.75,24.1,191
S001_P0019,2024-01-02,1,113.93,81.71,149
S001_P0019,2024-01-03,2,111.37,81.71,149
S001_P0019,2024-01-04,3,96.08,81.71,149
S001_P0019,2024-01-05,4,109.19,81.71,149
S001_P0019,2024-01-06,5,103.19,81.71,149
S001_P0019,2024-01-07,6,115.07,81.71,149
S001_P0019,2024-01-08,7,108.14,81.71,149
S001_P0020,2024-01-02,1,77.74,11.0,242
S001_P0020,2024-01-03,2,83.07,11.0,242
S001_P0020,2024-01-04,3,62.69,11.0,242
S001_P0020,2024-01-05,4,64.44,11.0,242
S001_P0020,2024-01-06,5,65.37,11.0,242
S001_P0020,2024-01-07,6,67.47,11.0,242
S001_P0020,2024-01-08,7,69.91,11.0,242
S002_P0001,2024-01-02,1,171.41,11.72,415
S002_P0001,2024-01-03,2,173.72,11.72,415
S002_P0001,2024-01-04,3,128.32,11.72,415
S002_P0001,2024-01-05,4,145.69,11.72,415
S002_P0001,2024-01-06,5,160.74,11.72,415
S002_P0001,2024-01-07,6,132.52,11.72,415
S002_P0001,2024-01-08,7,152.59,11.72,415
S002_P0002,2024-01-02,1,121.24,57.66,364
S002_P0002,2024-01-03,2,133.75,57.66,364
S002_P0002,2024-01-04,3,77.09,57.66,364
S002_P0002,2024-01-05,4,70.43,57.66,364
S002_P0002,2024-01-06,5,75.77,57.66,364
S002_P0002,2024-01-07,6,84.67,57.66,364
S002_P0002,2024-01-08,7,96.55,57.66,364
S002_P0003,2024-01-02,1,73.21,81.61,372
S002_P0003,2024-01-03,2,77.27,81.61,372
S002_P0003,2024-01-04,3,80.11,81.61,372
S002_P0003,2024-01-05,4,88.43,81.61,372
S002_P0003,2024-01-06,5,87.35,81.61,372
S002_P0003,2024-01-07,6,84.49,81.61,372
S002_P0003,2024-01-08,7,82.4,81.61,372
S002_P0004,2024-01-02,1,135.72,25.28,133
S002_P0004,2024-01-03,2,121.6,25.28,133
S002_P0004,2024-01-04,3,136.72,25.28,133
S002_P0004,2024-01-05,4,159.46,25.28,133
S002_P0004,2024-01-06,5,139.71,25.28,133
S002_P0004,2024-01-07,6,118.31,25.28,133
S002_P0004,2024-01-08,7,135.86,25.28,133
S002_P0005,2024-01-02,1,177.47,16.98,464
S002_P0005,2024-01-03,2,203.3,16.98,464
S002_P0005,2024-01-04,3,202.8,16.98,464
S002_P0005,2024-01-05,4,211.69,16.98,464
S002_P0005,2024-01-06,5,235.01,16.98,464
S002_P0005,2024-01-07,6,205.57,16.98,464
S002_P0005,2024-01-08,7,205.65,16.98,464
S002_P0006,2024-01-02,1,158.07,19.06,160
S002_P0006,2024-01-03,2,157.27,19.06,160
S002_P0006,2024-01-04,3,148.55,19.06,160
S002_P0006,2024-01-05,4,151.95,19.06,160
S002_P0006,2024-01-06,5,159.83,19.06,160
S002_P0006,2024-01-07,6,154.31,19.06,160
S002_P0006,2024-01-08,7,154.77,19.06,160
S002_P0007,2024-01-02,1,111.59,63.66,53
S002_P0007,2024-01-03,2,122.18,63.66,53
S002_P0007,2024-01-04,3,77.08,63.66,53
S002_P0007,2024-01-05,4,68.95,63.66,53
S002_P0007,2024-01-06,5,66.89,63.66,53
S002_P0007,2024-01-07,6,75.93,63.66,53
S002_P0007,2024-01-08,7,86.59,63.66,53
S002_P0008,2024-01-02,1,81.27,90.38,218
S002_P0008,2024-01-03,2,91.73,90.38,218
S002_P0008,2024-01-04,3,89.04,90.38,218
S002_P0008,2024-01-05,4,89.07,90.38,218
S002_P0008,2024-01-06,5,68.77,90.38,218
S002_P0008,2024-01-07,6,79.04,90.38,218
S002_P0008,2024-01-08,7,82.81,90.38,218
S002_P0009,2024-01-02,1,99.38,45.97,62
S002_P0009,2024-01-03,2,111.81,45.97,62
S002_P0009,2024-01-04,3,114.47,45.97,62
S002_P0009,2024-01-05,4,89.3,45.97,62
S002_P0009,2024-01-06,5,81.32,45.97,62
S002_P0009,2024-01-07,6,92.98,45.97,62
S002_P0009,2024-01-08,7,100.06,45.97,62
S002_P0010,2024-01-02,1,173.77,33.48,419
S002_P0010,2024-01-03,2,195.9,33.48,419
