sku,date,final_forecast
S001_P0001,2023-12-26,138.25046732729646
S001_P0001,2023-12-27,137.23729893884078
S001_P0001,2023-12-28,137.24774682994288
S001_P0001,2023-12-29,137.24763909027223
S001_P0001,2023-12-30,137.24764020129422
S001_P0001,2023-12-31,137.24764018983726
S001_P0001,2024-01-01,137.2476401899554
S001_P0002,2023-12-26,118.43626986117224
S001_P0002,2023-12-27,120.09261883877456
S001_P0002,2023-12-28,120.23377205156694
S001_P0002,2023-12-29,120.24580105617348
S001_P0002,2023-12-30,120.24682616179425
S001_P0002,2023-12-31,120.246913520771
S001_P0002,2024-01-01,120.24692096545832
S001_P0003,2023-12-26,145.94918851036903
S001_P0003,2023-12-27,141.5303516510781
S001_P0003,2023-12-28,141.76862270102947
S001_P0003,2023-12-29,141.7557747288022
S001_P0003,2023-12-30,141.75646751288315
S001_P0003,2023-12-31,141.75643015681058
S001_P0003,2024-01-01,141.7564321711123
S001_P0004,2023-12-26,141.3331616951554
S001_P0004,2023-12-27,140.91385954613946
S001_P0004,2023-12-28,140.9095362621199
S001_P0004,2023-12-29,140.9094916861864
S001_P0004,2023-12-30,140.9094912265789
S001_P0004,2023-12-31,140.90949122184
S001_P0004,2024-01-01,140.90949122179114
S001_P0005,2023-12-26,120.96363213092866
S001_P0005,2023-12-27,134.19148753944455
S001_P0005,2023-12-28,133.0329840533154
S001_P0005,2023-12-29,133.1344464813451
S001_P0005,2023-12-30,133.12556034122989
S001_P0005,2023-12-31,133.12633859469454
S001_P0005,2024-01-01,133.12627043479077
S001_P0006,2023-12-26,129.05653053881483
S001_P0006,2023-12-27,130.60802437587003
S001_P0006,2023-12-28,130.6652600321541
S001_P0006,2023-12-29,130.66737149419927
S001_P0006,2023-12-30,130.66744938746123
S001_P0006,2023-12-31,130.6674522609963
S001_P0006,2024-01-01,130.66745236700294
S001_P0007,2023-12-26,128.19320684513104
S001_P0007,2023-12-27,130.48740485965624
S001_P0007,2023-12-28,130.53156295112106
S001_P0007,2023-12-29,130.53241289390257
S001_P0007,2023-12-30,130.53242925336713
S001_P0007,2023-12-31,130.5324295682496
S001_P0007,2024-01-01,130.53242957431036
S001_P0008,2023-12-26,140.4656848761644
S001_P0008,2023-12-27,137.32291213658857
S001_P0008,2023-12-28,137.21617313409632
S001_P0008,2023-12-29,137.2125479229859
S001_P0008,2023-12-30,137.21242479877367
S001_P0008,2023-12-31,137.2124206170664
S001_P0008,2024-01-01,137.21242047504174
S001_P0009,2023-12-26,122.92604441431185
S001_P0009,2023-12-27,194.29217337470115
S001_P0009,2023-12-28,77.90213672660167
S001_P0009,2023-12-29,167.1783636256686
S001_P0009,2023-12-30,177.75088675507303
S001_P0009,2023-12-31,88.40872621394652
S001_P0009,2024-01-01,61.89081802406707
S001_P0010,2023-12-26,137.90431092128864
S001_P0010,2023-12-27,137.7636208949353
S001_P0010,2023-12-28,137.7639123887042
S001_P0010,2023-12-29,137.7639117847622
S001_P0010,2023-12-30,137.7639117860135
S001_P0010,2023-12-31,137.7639117860109
S001_P0010,2024-01-01,137.7639117860109
S001_P0011,2023-12-26,135.23066351017883
S001_P0011,2023-12-27,139.3845152254856
S001_P0011,2023-12-28,139.52802673551977
S001_P0011,2023-12-29,139.53298491768993
S001_P0011,2023-12-30,139.53315621802972
S001_P0011,2023-12-31,139.53316213628875
S001_P0011,2024-01-01,139.53316234075882
S001_P0012,2023-12-26,124.36299612767765
S001_P0012,2023-12-27,128.17187321002535
S001_P0012,2023-12-28,128.36962337556093
S001_P0012,2023-12-29,128.3798902146119
S001_P0012,2023-12-30,128.38042325074773
S001_P0012,2023-12-31,128.3804509250417
S001_P0012,2024-01-01,128.38045236184217
S001_P0013,2023-12-26,136.41696494321755
S001_P0013,2023-12-27,133.01581788710573
S001_P0013,2023-12-28,132.87741897290692
S001_P0013,2023-12-29,132.87178726715138
S001_P0013,2023-12-30,132.87155810271102
S001_P0013,2023-12-31,132.87154877758948
S001_P0013,2024-01-01,132.87154839813317
S001_P0014,2023-12-26,141.6852827538322
S001_P0014,2023-12-27,141.89531497617918
S001_P0014,2023-12-28,141.89482653381043
S001_P0014,2023-12-29,141.89482766971207
S001_P0014,2023-12-30,141.89482766707047
S001_P0014,2023-12-31,141.8948276670766
S001_P0014,2024-01-01,141.89482766707658
S001_P0015,2023-12-26,137.05181961765874
S001_P0015,2023-12-27,137.88624983927434
S001_P0015,2023-12-28,137.8804450509689
S001_P0015,2023-12-29,137.88048543249678
S001_P0015,2023-12-30,137.88048515157908
S001_P0015,2023-12-31,137.8804851535333
S001_P0015,2024-01-01,137.88048515351971
S001_P0016,2023-12-26,134.92228840872656
S001_P0016,2023-12-27,138.60164021939804
S001_P0016,2023-12-28,138.71267512469203
