sku,date,forecast
S001_P0001,2023-12-26,141.98409
S001_P0001,2023-12-27,136.31067
S001_P0001,2023-12-28,152.63992
S001_P0001,2023-12-29,97.48909
S001_P0001,2023-12-30,133.14394
S001_P0001,2023-12-31,197.8805
S001_P0001,2024-01-01,172.83931
S001_P0002,2023-12-26,150.94073
S001_P0002,2023-12-27,102.32399
S001_P0002,2023-12-28,200.7222
S001_P0002,2023-12-29,116.24624
S001_P0002,2023-12-30,139.61139
S001_P0002,2023-12-31,118.33349
S001_P0002,2024-01-01,186.30524
S001_P0003,2023-12-26,191.77095
S001_P0003,2023-12-27,75.78168
S001_P0003,2023-12-28,69.18011
S001_P0003,2023-12-29,93.960495
S001_P0003,2023-12-30,256.27405
S001_P0003,2023-12-31,180.31696
S001_P0003,2024-01-01,201.54384
S001_P0004,2023-12-26,97.491356
S001_P0004,2023-12-27,217.17589
S001_P0004,2023-12-28,101.560425
S001_P0004,2023-12-29,184.50485
S001_P0004,2023-12-30,227.14883
S001_P0004,2023-12-31,92.73522
S001_P0004,2024-01-01,204.49371
S001_P0005,2023-12-26,241.45496
S001_P0005,2023-12-27,112.101944
S001_P0005,2023-12-28,123.923584
S001_P0005,2023-12-29,179.90575
S001_P0005,2023-12-30,71.56286
S001_P0005,2023-12-31,206.8521
S001_P0005,2024-01-01,140.32433
S001_P0006,2023-12-26,194.24751
S001_P0006,2023-12-27,90.54659
S001_P0006,2023-12-28,141.36296
S001_P0006,2023-12-29,182.56624
S001_P0006,2023-12-30,212.38777
S001_P0006,2023-12-31,207.99533
S001_P0006,2024-01-01,204.3608
S001_P0007,2023-12-26,135.65706
S001_P0007,2023-12-27,6.3820114
S001_P0007,2023-12-28,191.64825
S001_P0007,2023-12-29,209.17937
S001_P0007,2023-12-30,156.34525
S001_P0007,2023-12-31,322.35052
S001_P0007,2024-01-01,145.30347
S001_P0008,2023-12-26,172.78847
S001_P0008,2023-12-27,48.18125
S001_P0008,2023-12-28,237.87962
S001_P0008,2023-12-29,202.66962
S001_P0008,2023-12-30,104.63285
S001_P0008,2023-12-31,61.888584
S001_P0008,2024-01-01,187.95811
S001_P0009,2023-12-26,135.89586
S001_P0009,2023-12-27,194.13118
S001_P0009,2023-12-28,41.116035
S001_P0009,2023-12-29,143.47276
S001_P0009,2023-12-30,184.77869
S001_P0009,2023-12-31,68.540535
S001_P0009,2024-01-01,41.267273
S001_P0010,2023-12-26,26.885775
S001_P0010,2023-12-27,78.94926
S001_P0010,2023-12-28,128.49219
S001_P0010,2023-12-29,124.16711
S001_P0010,2023-12-30,125.48217
S001_P0010,2023-12-31,247.95285
S001_P0010,2024-01-01,124.96205
S001_P0011,2023-12-26,180.80576
S001_P0011,2023-12-27,160.95401
S001_P0011,2023-12-28,52.671284
S001_P0011,2023-12-29,268.5432
S001_P0011,2023-12-30,203.92589
S001_P0011,2023-12-31,151.9611
S001_P0011,2024-01-01,113.76521
S001_P0012,2023-12-26,104.52726
S001_P0012,2023-12-27,134.28581
S001_P0012,2023-12-28,137.43611
S001_P0012,2023-12-29,30.804895
S001_P0012,2023-12-30,243.13954
S001_P0012,2023-12-31,212.86418
S001_P0012,2024-01-01,127.7582
S001_P0013,2023-12-26,179.63264
S001_P0013,2023-12-27,301.16168
S001_P0013,2023-12-28,91.77207
S001_P0013,2023-12-29,235.65733
S001_P0013,2023-12-30,177.36389
S001_P0013,2023-12-31,207.86955
S001_P0013,2024-01-01,128.53311
S001_P0014,2023-12-26,247.17108
S001_P0014,2023-12-27,136.48367
S001_P0014,2023-12-28,197.1169
S001_P0014,2023-12-29,201.02995
S001_P0014,2023-12-30,89.56557
S001_P0014,2023-12-31,208.38289
S001_P0014,2024-01-01,145.119
S001_P0015,2023-12-26,172.48665
S001_P0015,2023-12-27,189.89641
S001_P0015,2023-12-28,116.42912
S001_P0015,2023-12-29,79.14688
S001_P0015,2023-12-30,57.96501
S001_P0015,2023-12-31,145.39845
S001_P0015,2024-01-01,244.7482
S001_P0016,2023-12-26,101.68918
S001_P0016,2023-12-27,235.57846
S001_P0016,2023-12-28,177.33444
S001_P0016,2023-12-29,173.82663
S001_P0016,2023-12-30,67.433495
S001_P0016,2023-12-31,212.6706
S001_P0016,2024-01-01,173.04553
S001_P0017,2023-12-26,187.7961
S001_P0017,2023-12-27,120.937675
S001_P0017,2023-12-28,86.31657
S001_P0017,2023-12-29,130.79802
S001_P0017,2023-12-30,189.82301
S001_P0017,2023-12-31,137.45358
S001_P0017,2024-01-01,348.05273
S001_P0018,2023-12-26,185.92207
S001_P0018,2023-12-27,131.93423
S001_P0018,2023-12-28,58.65098
S001_P0018,2023-12-29,209.34941
S001_P0018,2023-12-30,78.21022
S001_P0018,2023-12-31,68.966705
S001_P0018,2024-01-01,194.0729
S001_P0019,2023-12-26,142.04503
S001_P0019,2023-12-27,89.77042
S001_P0019,2023-12-28,205.82414
S001_P0019,2023-12-29,67.64161
S001_P0019,2023-12-30,108.69384
S001_P0019,2023-12-31,142.79866
S001_P0019,2024-01-01,89.29676
S001_P0020,2023-12-26,135.53616
S001_P0020,2023-12-27,156.53163
S001_P0020,2023-12-28,162.44174
S001_P0020,2023-12-29,159.02423
S001_P0020,2023-12-30,283.7006
S001_P0020,2023-12-31,140.42116
S001_P0020,2024-01-01,104.20767
S002_P0001,2023-12-26,148.90302
S002_P0001,2023-12-27,244.57663
S002_P0001,2023-12-28,150.6368
S002_P0001,2023-12-29,106.451614
S002_P0001,2023-12-30,222.28284
S002_P0001,2023-12-31,125.85265
S002_P0001,2024-01-01,174.79854
S002_P0002,2023-12-26,36.985813
S002_P0002,2023-12-27,45.020466
S002_P0002,2023-12-28,106.12588
S002_P0002,2023-12-29,0.0
S002_P0002,2023-12-30,62.090263
S002_P0002,2023-12-31,186.5792
S002_P0002,2024-01-01,28.969248
S002_P0003,2023-12-26,54.52542
S002_P0003,2023-12-27,194.83778
S002_P0003,2023-12-28,131.82582
S002_P0003,2023-12-29,104.12277
S002_P0003,2023-12-30,217.20781
S002_P0003,2023-12-31,180.73228
S002_P0003,2024-01-01,188.65002
S002_P0004,2023-12-26,80.1473
S002_P0004,2023-12-27,210.88037
S002_P0004,2023-12-28,243.18205
S002_P0004,2023-12-29,133.14618
S002_P0004,2023-12-30,180.98685
S002_P0004,2023-12-31,202.55936
S002_P0004,2024-01-01,207.86081
S002_P0005,2023-12-26,131.58047
S002_P0005,2023-12-27,145.95116
S002_P0005,2023-12-28,123.66609
S002_P0005,2023-12-29,164.0956
S002_P0005,2023-12-30,85.26644
S002_P0005,2023-12-31,179.21687
S002_P0005,2024-01-01,157.86816
S002_P0006,2023-12-26,136.12875
S002_P0006,2023-12-27,105.652176
S002_P0006,2023-12-28,193.85333
S002_P0006,2023-12-29,160.21654
S002_P0006,2023-12-30,154.28514
S002_P0006,2023-12-31,122.47549
S002_P0006,2024-01-01,201.97462
S002_P0007,2023-12-26,187.34975
S002_P0007,2023-12-27,189.96991
S002_P0007,2023-12-28,253.0262
S002_P0007,2023-12-29,162.05545
S002_P0007,2023-12-30,59.871876
S002_P0007,2023-12-31,70.615906
S002_P0007,2024-01-01,118.91329
S002_P0008,2023-12-26,216.60046
S002_P0008,2023-12-27,130.80081
S002_P0008,2023-12-28,124.25555
S002_P0008,2023-12-29,192.44589
S002_P0008,2023-12-30,130.93533
S002_P0008,2023-12-31,184.54865
S002_P0008,2024-01-01,70.26191
S002_P0009,2023-12-26,150.27669
S002_P0009,2023-12-27,128.89693
S002_P0009,2023-12-28,194.86053
S002_P0009,2023-12-29,150.70511
S002_P0009,2023-12-30,169.41902
S002_P0009,2023-12-31,223.66531
S002_P0009,2024-01-01,102.075165
S002_P0010,2023-12-26,83.037964
S002_P0010,2023-12-27,157.63979
S002_P0010,2023-12-28,94.68504
S002_P0010,2023-12-29,104.251816
S002_P0010,2023-12-30,133.25967
S002_P0010,2023-12-31,247.0985
S002_P0010,2024-01-01,113.30979
S002_P0011,2023-12-26,100.01774
S002_P0011,2023-12-27,101.8382
S002_P0011,2023-12-28,98.99573
S002_P0011,2023-12-29,190.26955
S002_P0011,2023-12-30,173.74353
S002_P0011,2023-12-31,117.173035
S002_P0011,2024-01-01,285.97195
S002_P0012,2023-12-26,67.07722
S002_P0012,2023-12-27,108.111015
S002_P0012,2023-12-28,201.56714
S002_P0012,2023-12-29,102.59041
S002_P0012,2023-12-30,130.81554
S002_P0012,2023-12-31,152.26239
S002_P0012,2024-01-01,116.34146
S002_P0013,2023-12-26,177.92505
S002_P0013,2023-12-27,126.16991
S002_P0013,2023-12-28,106.91631
S002_P0013,2023-12-29,147.01286
S002_P0013,2023-12-30,157.32933
S002_P0013,2023-12-31,214.96149
S002_P0013,2024-01-01,225.76001
S002_P0014,2023-12-26,92.45257
S002_P0014,2023-12-27,96.81143
S002_P0014,2023-12-28,126.21528
S002_P0014,2023-12-29,161.32549
S002_P0014,2023-12-30,32.033485
S002_P0014,2023-12-31,128.20815
S002_P0014,2024-01-01,85.29187
S002_P0015,2023-12-26,125.633446
S002_P0015,2023-12-27,300.52594
S002_P0015,2023-12-28,93.59129
S002_P0015,2023-12-29,89.84612
S002_P0015,2023-12-30,215.30048
S002_P0015,2023-12-31,70.834496
S002_P0015,2024-01-01,154.45613
S002_P0016,2023-12-26,111.86007
S002_P0016,2023-12-27,263.2444
S002_P0016,2023-12-28,108.76645
S002_P0016,2023-12-29,105.73024
S002_P0016,2023-12-30,155.97789
S002_P0016,2023-12-31,174.14539
S002_P0016,2024-01-01,144.27917
S002_P0017,2023-12-26,106.7471
S002_P0017,2023-12-27,163.32773
S002_P0017,2023-12-28,126.88216
S002_P0017,2023-12-29,46.832436
S002_P0017,2023-12-30,155.59407
S002_P0017,2023-12-31,138.72495
S002_P0017,2024-01-01,68.456024
S002_P0018,2023-12-26,106.34215
S002_P0018,2023-12-27,87.20701
S002_P0018,2023-12-28,168.52026
S002_P0018,2023-12-29,203.17862
S002_P0018,2023-12-30,73.0659
S002_P0018,2023-12-31,156.63481
S002_P0018,2024-01-01,122.16719
S002_P0019,2023-12-26,134.68437
S002_P0019,2023-12-27,83.28566
S002_P0019,2023-12-28,62.608765
S002_P0019,2023-12-29,127.50177
S002_P0019,2023-12-30,95.556404
S002_P0019,2023-12-31,181.66057
S002_P0019,2024-01-01,77.277565
S002_P0020,2023-12-26,80.2494
S002_P0020,2023-12-27,136.21498
S002_P0020,2023-12-28,141.0997
S002_P0020,2023-12-29,87.927895
S002_P0020,2023-12-30,21.881641
S002_P0020,2023-12-31,148.11906
S002_P0020,2024-01-01,201.46198
S003_P0001,2023-12-26,72.34747
S003_P0001,2023-12-27,158.84125
S003_P0001,2023-12-28,146.64296
S003_P0001,2023-12-29,140.84764
S003_P0001,2023-12-30,82.91505
S003_P0001,2023-12-31,79.159676
S003_P0001,2024-01-01,63.767815
S003_P0002,2023-12-26,148.01395
S003_P0002,2023-12-27,122.500786
S003_P0002,2023-12-28,68.96587
S003_P0002,2023-12-29,93.04789
S003_P0002,2023-12-30,142.26169
S003_P0002,2023-12-31,202.32803
S003_P0002,2024-01-01,88.87543
S003_P0003,2023-12-26,108.913284
S003_P0003,2023-12-27,65.45737
S003_P0003,2023-12-28,54.2393
S003_P0003,2023-12-29,230.75554
S003_P0003,2023-12-30,129.02176
S003_P0003,2023-12-31,111.8505
S003_P0003,2024-01-01,39.051895
S003_P0004,2023-12-26,89.074326
S003_P0004,2023-12-27,90.73238
S003_P0004,2023-12-28,63.016495
S003_P0004,2023-12-29,54.86599
S003_P0004,2023-12-30,144.09196
S003_P0004,2023-12-31,165.35551
S003_P0004,2024-01-01,91.6901
S003_P0005,2023-12-26,237.46202
S003_P0005,2023-12-27,145.92339
S003_P0005,2023-12-28,107.910034
S003_P0005,2023-12-29,88.25297
S003_P0005,2023-12-30,74.631256
S003_P0005,2023-12-31,129.47954
S003_P0005,2024-01-01,289.34265
S003_P0006,2023-12-26,100.35052
S003_P0006,2023-12-27,160.68839
