sku,date,day_ahead,lstm_forecast,price,inventory_level
S001_P0001,2024-01-02,1,139.31,55.26,223
S001_P0001,2024-01-03,2,140.5,55.26,223
S001_P0001,2024-01-04,3,139.74,55.26,223
S001_P0001,2024-01-05,4,139.27,55.26,223
S001_P0001,2024-01-06,5,139.1,55.26,223
S001_P0001,2024-01-07,6,139.07,55.26,223
S001_P0001,2024-01-08,7,139.08,55.26,223
S001_P0002,2024-01-02,1,140.03,44.84,217
S001_P0002,2024-01-03,2,140.15,44.84,217
S001_P0002,2024-01-04,3,139.53,44.84,217
S001_P0002,2024-01-05,4,139.19,44.84,217
S001_P0002,2024-01-06,5,139.08,44.84,217
S001_P0002,2024-01-07,6,139.08,44.84,217
S001_P0002,2024-01-08,7,139.09,44.84,217
S001_P0003,2024-01-02,1,138.33,21.94,69
S001_P0003,2024-01-03,2,139.59,21.94,69
S001_P0003,2024-01-04,3,139.39,21.94,69
S001_P0003,2024-01-05,4,139.21,21.94,69
S001_P0003,2024-01-06,5,139.11,21.94,69
S001_P0003,2024-01-07,6,139.09,21.94,69
S001_P0003,2024-01-08,7,139.09,21.94,69
S001_P0004,2024-01-02,1,140.04,86.37,338
S001_P0004,2024-01-03,2,138.75,86.37,338
S001_P0004,2024-01-04,3,138.8,86.37,338
S001_P0004,2024-01-05,4,138.97,86.37,338
S001_P0004,2024-01-06,5,139.07,86.37,338
S001_P0004,2024-01-07,6,139.1,86.37,338
S001_P0004,2024-01-08,7,139.1,86.37,338
S001_P0005,2024-01-02,1,141.0,15.58,471
S001_P0005,2024-01-03,2,138.41,15.58,471
S001_P0005,2024-01-04,3,138.58,15.58,471
S001_P0005,2024-01-05,4,138.87,15.58,471
S001_P0005,2024-01-06,5,139.04,15.58,471
S001_P0005,2024-01-07,6,139.1,15.58,471
S001_P0005,2024-01-08,7,139.1,15.58,471
S001_P0006,2024-01-02,1,139.17,64.76,305
S001_P0006,2024-01-03,2,139.7,64.76,305
S001_P0006,2024-01-04,3,139.36,64.76,305
S001_P0006,2024-01-05,4,139.17,64.76,305
S001_P0006,2024-01-06,5,139.1,64.76,305
S001_P0006,2024-01-07,6,139.09,64.76,305
S001_P0006,2024-01-08,7,139.09,64.76,305
S001_P0007,2024-01-02,1,136.15,77.44,256
S001_P0007,2024-01-03,2,139.37,77.44,256
S001_P0007,2024-01-04,3,139.52,77.44,256
S001_P0007,2024-01-05,4,139.31,77.44,256
S001_P0007,2024-01-06,5,139.14,77.44,256
S001_P0007,2024-01-07,6,139.09,77.44,256
S001_P0007,2024-01-08,7,139.08,77.44,256
S001_P0008,2024-01-02,1,141.11,31.34,315
S001_P0008,2024-01-03,2,138.88,31.34,315
S001_P0008,2024-01-04,3,138.77,31.34,315
S001_P0008,2024-01-05,4,138.92,31.34,315
S001_P0008,2024-01-06,5,139.05,31.34,315
S001_P0008,2024-01-07,6,139.09,31.34,315
S001_P0008,2024-01-08,7,139.1,31.34,315
S001_P0009,2024-01-02,1,138.13,96.8,167
S001_P0009,2024-01-03,2,140.34,96.8,167
S001_P0009,2024-01-04,3,139.78,96.8,167
S001_P0009,2024-01-05,4,139.32,96.8,167
S001_P0009,2024-01-06,5,139.12,96.8,167
S001_P0009,2024-01-07,6,139.08,96.8,167
S001_P0009,2024-01-08,7,139.08,96.8,167
S001_P0010,2024-01-02,1,138.12,40.95,167
S001_P0010,2024-01-03,2,139.52,40.95,167
S001_P0010,2024-01-04,3,139.43,40.95,167
S001_P0010,2024-01-05,4,139.22,40.95,167
S001_P0010,2024-01-06,5,139.11,40.95,167
S001_P0010,2024-01-07,6,139.08,40.95,167
S001_P0010,2024-01-08,7,139.09,40.95,167
S001_P0011,2024-01-02,1,136.72,90.89,449
S001_P0011,2024-01-03,2,139.39,90.89,449
S001_P0011,2024-01-04,3,139.43,90.89,449
S001_P0011,2024-01-05,4,139.26,90.89,449
S001_P0011,2024-01-06,5,139.13,90.89,449
S001_P0011,2024-01-07,6,139.09,90.89,449
S001_P0011,2024-01-08,7,139.09,90.89,449
S001_P0012,2024-01-02,1,138.98,39.14,213
S001_P0012,2024-01-03,2,140.31,39.14,213
S001_P0012,2024-01-04,3,139.71,39.14,213
S001_P0012,2024-01-05,4,139.27,39.14,213
S001_P0012,2024-01-06,5,139.1,39.14,213
S001_P0012,2024-01-07,6,139.07,39.14,213
S001_P0012,2024-01-08,7,139.08,39.14,213
S001_P0013,2024-01-02,1,140.33,59.93,356
S001_P0013,2024-01-03,2,138.53,59.93,356
S001_P0013,2024-01-04,3,138.69,59.93,356
S001_P0013,2024-01-05,4,138.93,59.93,356
S001_P0013,2024-01-06,5,139.06,59.93,356
S001_P0013,2024-01-07,6,139.1,59.93,356
S001_P0013,2024-01-08,7,139.1,59.93,356
S001_P0014,2024-01-02,1,141.54,29.01,293
S001_P0014,2024-01-03,2,139.03,29.01,293
S001_P0014,2024-01-04,3,138.82,29.01,293
S001_P0014,2024-01-05,4,138.92,29.01,293
S001_P0014,2024-01-06,5,139.04,29.01,293
S001_P0014,2024-01-07,6,139.09,29.01,293
S001_P0014,2024-01-08,7,139.1,29.01,293
S001_P0015,2024-01-02,1,140.58,25.26,356
S001_P0015,2024-01-03,2,138.09,25.26,356
S001_P0015,2024-01-04,3,138.41,25.26,356
S001_P0015,2024-01-05,4,138.83,25.26,356
S001_P0015,2024-01-06,5,139.04,25.26,356
S001_P0015,2024-01-07,6,139.1,25.26,356
S001_P0015,2024-01-08,7,139.1,25.26,356
S001_P0016,2024-01-02,1,138.69,40.61,74
S001_P0016,2024-01-03,2,140.58,40.61,74
S001_P0016,2024-01-04,3,139.83,40.61,74
S001_P0016,2024-01-05,4,139.32,40.61,74
S001_P0016,2024-01-06,5,139.11,40.61,74
S001_P0016,2024-01-07,6,139.07,40.61,74
S001_P0016,2024-01-08,7,139.08,40.61,74
S001_P0017,2024-01-02,1,140.4,20.68,282
S001_P0017,2024-01-03,2,138.72,20.68,282
S001_P0017,2024-01-04,3,138.74,20.68,282
S001_P0017,2024-01-05,4,138.94,20.68,282
S001_P0017,2024-01-06,5,139.06,20.68,282
S001_P0017,2024-01-07,6,139.1,20.68,282
S001_P0017,2024-01-08,7,139.1,20.68,282
S001_P0018,2024-01-02,1,139.27,24.1,191
S001_P0018,2024-01-03,2,140.94,24.1,191
S001_P0018,2024-01-04,3,139.95,24.1,191
S001_P0018,2024-01-05,4,139.33,24.1,191
S001_P0018,2024-01-06,5,139.09,24.1,191
S001_P0018,2024-01-07,6,139.06,24.1,191
S001_P0018,2024-01-08,7,139.08,24.1,191
S001_P0019,2024-01-02,1,140.31,81.71,149
S001_P0019,2024-01-03,2,139.48,81.71,149
S001_P0019,2024-01-04,3,139.17,81.71,149
S001_P0019,2024-01-05,4,139.08,81.71,149
S001_P0019,2024-01-06,5,139.07,81.71,149
S001_P0019,2024-01-07,6,139.09,81.71,149
S001_P0019,2024-01-08,7,139.09,81.71,149
S001_P0020,2024-01-02,1,139.2,11.0,242
S001_P0020,2024-01-03,2,140.45,11.0,242
S001_P0020,2024-01-04,3,139.73,11.0,242
S001_P0020,2024-01-05,4,139.27,11.0,242
S001_P0020,2024-01-06,5,139.1,11.0,242
S001_P0020,2024-01-07,6,139.07,11.0,242
S001_P0020,2024-01-08,7,139.08,11.0,242
S002_P0001,2024-01-02,1,136.57,11.72,415
S002_P0001,2024-01-03,2,139.31,11.72,415
S002_P0001,2024-01-04,3,139.39,11.72,415
S002_P0001,2024-01-05,4,139.25,11.72,415
S002_P0001,2024-01-06,5,139.13,11.72,415
S002_P0001,2024-01-07,6,139.09,11.72,415
S002_P0001,2024-01-08,7,139.08,11.72,415
S002_P0002,2024-01-02,1,139.25,57.66,364
S002_P0002,2024-01-03,2,140.63,57.66,364
S002_P0002,2024-01-04,3,139.8,57.66,364
S002_P0002,2024-01-05,4,139.28,57.66,364
S002_P0002,2024-01-06,5,139.09,57.66,364
S002_P0002,2024-01-07,6,139.07,57.66,364
S002_P0002,2024-01-08,7,139.08,57.66,364
S002_P0003,2024-01-02,1,139.58,81.61,372
S002_P0003,2024-01-03,2,139.65,81.61,372
S002_P0003,2024-01-04,3,139.31,81.61,372
S002_P0003,2024-01-05,4,139.14,81.61,372
S002_P0003,2024-01-06,5,139.09,81.61,372
S002_P0003,2024-01-07,6,139.09,81.61,372
S002_P0003,2024-01-08,7,139.09,81.61,372
S002_P0004,2024-01-02,1,136.84,25.28,133
S002_P0004,2024-01-03,2,139.2,25.28,133
S002_P0004,2024-01-04,3,139.36,25.28,133
S002_P0004,2024-01-05,4,139.24,25.28,133
S002_P0004,2024-01-06,5,139.13,25.28,133
S002_P0004,2024-01-07,6,139.09,25.28,133
S002_P0004,2024-01-08,7,139.09,25.28,133
S002_P0005,2024-01-02,1,137.98,16.98,464
S002_P0005,2024-01-03,2,137.42,16.98,464
S002_P0005,2024-01-04,3,138.29,16.98,464
S002_P0005,2024-01-05,4,138.87,16.98,464
S002_P0005,2024-01-06,5,139.08,16.98,464
S002_P0005,2024-01-07,6,139.11,16.98,464
S002_P0005,2024-01-08,7,139.1,16.98,464
S002_P0006,2024-01-02,1,138.98,19.06,160
S002_P0006,2024-01-03,2,138.8,19.06,160
S002_P0006,2024-01-04,3,138.95,19.06,160
S002_P0006,2024-01-05,4,139.05,19.06,160
S002_P0006,2024-01-06,5,139.09,19.06,160
S002_P0006,2024-01-07,6,139.1,19.06,160
S002_P0006,2024-01-08,7,139.1,19.06,160
S002_P0007,2024-01-02,1,138.3,63.66,53
S002_P0007,2024-01-03,2,141.01,63.66,53
S002_P0007,2024-01-04,3,140.06,63.66,53
S002_P0007,2024-01-05,4,139.38,63.66,53
S002_P0007,2024-01-06,5,139.1,63.66,53
S002_P0007,2024-01-07,6,139.06,63.66,53
S002_P0007,2024-01-08,7,139.08,63.66,53
S002_P0008,2024-01-02,1,138.71,90.38,218
S002_P0008,2024-01-03,2,140.32,90.38,218
S002_P0008,2024-01-04,3,139.74,90.38,218
S002_P0008,2024-01-05,4,139.29,90.38,218
S002_P0008,2024-01-06,5,139.11,90.38,218
S002_P0008,2024-01-07,6,139.07,90.38,218
S002_P0008,2024-01-08,7,139.08,90.38,218
S002_P0009,2024-01-02,1,138.17,45.97,62
S002_P0009,2024-01-03,2,140.24,45.97,62
S002_P0009,2024-01-04,3,139.75,45.97,62
S002_P0009,2024-01-05,4,139.31,45.97,62
S002_P0009,2024-01-06,5,139.12,45.97,62
S002_P0009,2024-01-07,6,139.07,45.97,62
S002_P0009,2024-01-08,7,139.08,45.97,62
