sku,lgb_mae,xgb_mae
S001_P0001,68.87498774651964,65.88206481933594
S001_P0002,53.17184719581298,51.218570709228516
S001_P0003,66.52515759263312,67.31278228759766
S001_P0004,76.99142809632977,75.51542663574219
S001_P0005,75.53013557097134,74.08503723144531
S001_P0006,69.42710457004888,66.33868408203125
S001_P0007,96.40019594464175,94.4915771484375
S001_P0008,71.65850931222712,73.42103576660156
S001_P0009,69.32097493375822,66.33650207519531
S001_P0010,63.473185991697314,63.78960037231445
S001_P0011,84.65809511376374,84.22807312011719
S001_P0012,76.90836289803588,78.51268005371094
S001_P0013,70.27274143307542,70.01890563964844
S001_P0014,77.65208435252042,78.20577239990234
S001_P0015,70.68932263369597,71.69561004638672
S001_P0016,78.82313046702609,79.55968475341797
S001_P0017,73.11562551625049,69.56791687011719
S001_P0018,47.45212247923819,48.95645523071289
S001_P0019,66.53918300208845,69.1389389038086
S001_P0020,78.28845890383687,76.94469451904297
S002_P0001,81.40567298852156,79.01873779296875
S002_P0002,51.34887569998546,52.73987579345703
S002_P0003,60.43742207153083,60.383052825927734
S002_P0004,61.745336025408236,65.52980041503906
S002_P0005,61.00516235274896,62.15200424194336
S002_P0006,70.79980551046522,69.92618560791016
S002_P0007,104.79405455136121,102.297607421875
S002_P0008,80.35792786173853,80.77347564697266
S002_P0009,104.70623415368344,106.34053802490234
S002_P0010,96.75018163051398,94.4593276977539
S002_P0011,65.6419623575304,68.01902770996094
S002_P0012,72.72105627233364,75.10189056396484
S002_P0013,78.32562983093773,79.36304473876953
S002_P0014,61.19186506590598,60.96123504638672
S002_P0015,61.75518139110029,61.55324172973633
S002_P0016,79.92579321049584,81.37798309326172
S002_P0017,83.10416561807078,81.39057922363281
S002_P0018,86.89558425369044,85.62803649902344
S002_P0019,65.55676815635432,66.95703887939453
S002_P0020,74.56253424664051,78.17241668701172
S003_P0001,62.24375842890743,63.96707534790039
S003_P0002,74.9436398379524,74.57926177978516
S003_P0003,66.8417448419779,66.00466918945312
S003_P0004,64.41280073199377,65.24317169189453
S003_P0005,51.39354289873138,52.97848892211914
S003_P0006,68.79009196701277,68.99809265136719
S003_P0007,58.89841037753768,61.15775680541992
S003_P0008,72.5753480014831,74.79973602294922
S003_P0009,76.05398260508085,76.23650360107422
S003_P0010,73.20536075648032,72.1692123413086
S003_P0011,85.86496905375118,85.73204803466797
S003_P0012,60.99911607569984,60.72515869140625
S003_P0013,52.10564156677885,54.32352828979492
S003_P0014,89.25884687487651,90.90216064453125
S003_P0015,71.3859429189269,71.0083236694336
S003_P0016,68.71352946259258,69.84098052978516
S003_P0017,69.98713649821833,70.56452941894531
S003_P0018,77.22959253719401,75.3307876586914
S003_P0019,77.72396417732294,78.91375732421875
S003_P0020,70.34576275371289,71.4331283569336
S004_P0001,69.90270876745159,69.11258697509766
S004_P0002,91.31305376653062,92.76673126220703
S004_P0003,65.89512848395943,65.271484375
S004_P0004,58.37430901310212,56.245330810546875
S004_P0005,65.24026761971878,64.39125061035156
S004_P0006,76.10291365040317,77.16925811767578
S004_P0007,74.97139069976902,74.45457458496094
S004_P0008,81.77807892240382,82.16490936279297
S004_P0009,93.1816392955968,92.27303314208984
S004_P0010,79.35643504608117,79.33313751220703
S004_P0011,67.06558247217983,66.3656997680664
S004_P0012,74.60807441720844,74.52478790283203
S004_P0013,84.73776382986769,85.14491271972656
S004_P0014,56.181366373824,56.910396575927734
S004_P0015,55.76797174653922,55.963504791259766
S004_P0016,67.18459841456321,68.99018096923828
S004_P0017,77.27392457924621,79.09380340576172
S004_P0018,60.18211316067384,61.4957389831543
S004_P0019,65.38858972614601,64.3438949584961
S004_P0020,76.31022966736603,73.3708267211914
S005_P0001,63.22212163201554,65.51294708251953
S005_P0002,104.17101734416062,102.01067352294922
S005_P0003,74.8570583223952,77.35237121582031
S005_P0004,67.65902105340705,67.39723205566406
S005_P0005,83.91006822405734,84.90251922607422
S005_P0006,80.37144380630204,80.91993713378906
S005_P0007,64.96357558049387,64.31986236572266
S005_P0008,79.7925484249398,77.8049087524414
S005_P0009,75.92368250667518,74.7093505859375
S005_P0010,77.85819564960958,78.50225830078125
S005_P0011,57.38938648501564,54.49181365966797
S005_P0012,58.34752125862136,56.57761764526367
S005_P0013,83.95320211684326,80.8306884765625
S005_P0014,98.560248319631,98.7052230834961
S005_P0015,89.98659915452242,88.39501953125
S005_P0016,74.2315470341548,73.72371673583984
S005_P0017,72.65922277474853,73.3590316772461
S005_P0018,55.41851772951817,57.236915588378906
S005_P0019,73.71458746129818,73.48394775390625
S005_P0020,69.49523544824068,68.6573486328125
